"path","human","ground","auto","prosodic","ground_wer","ground_cer","auto_wer","auto_cer","prosodic_wer","prosodic_cer"
"SP_DID_234_seg_1878.12_1886.86.wav","o o marabá o eh sentava-se a gente se sentia bem à vontade porque era um um ambiente muito assim requintado","o o marabau sentava-se a gente se sentia bem à vontade porque era um um ambiente muito assim requintado","pô a luz estava ansiagem se esse pedia a vira para você sentar","foro perguntaram se ela já tinha que ia rindo nada",0.1429,0.0561,0.9524,0.6916,0.9524,0.7009
"SP_DID_234_seg_1053.33_1061.60.wav","é um filme eh muito bom de após guerra eu gostei é um filme de amor umas cenas maravilhosas lindo o filme","é um filme muito bom de após guerra eu gostei é um filme de amor umas cenas maravilhosas lindo filme","tem um filme é muito bom de após terra é um pê um filme de boa cenas mais assim o fim","é um filme muito bom de a voz",0.0909,0.0476,0.5000,0.3619,0.7273,0.7333
"SP_DID_234_seg_570.67_572.04.wav","eu tenho a impressão que é mais difícil","eu tenho a impressão que é mais difícil","eu tenho a impressão que é mais difícil","eu tenho a impressão que é mais difícil",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_724.15_742.92.wav","por exemplo aquele teatro que tem lá na rua dos ingleses que passou essa peça essa comédia que nós comentamos eu tenho a impressão que lá é mais assim ah não tem tanto preparo tanto ah tanta encenação eu acho que o pessoal ah deve ser grupo de estudantes né que fazem esse teatro","por exemplo aquele teatro que tem lá na rua dos ingleses que passou essa peça essa comédia que nós comentávamos eu tenho a impressão que lá é mais assim ah não tem tanto preparo tanto a encenação eu acho que o pessoal deve ser grupo de estudantes que fazem esse teatro","por exemplo aquele teatro que tem o amarro das empresas que são as pessoas da sua mulher que dão dinheiro tem umas salta de um dinheiro e tem um resultado assim a senhora assim da sua rua se vinha e danos e já tinha de","por exemplo aquele teatro que tinha na rua nos rindo e eles não viram",0.0926,0.0538,0.8519,0.5842,0.8519,0.7814
"SP_DID_234_seg_409.77_412.93.wav","eu disse meu deus foi domingo à tarde mas uma molecada!","eu disse meu deus foi domingo à tarde mais uma molecada","e eu disse meu deus fui dormindo a tavê mais uma molecada","eu disse meu deus fui domingo à tarde e nós usamos uma etada",0.1818,0.0364,0.6364,0.2000,0.4545,0.2545
"SP_DID_234_seg_1241.54_1242.76.wav","foi tão comentado sabe","foi tão comentado sabe","foi então que sabe","foi então",0.0000,0.0000,0.5000,0.4545,0.7500,0.6364
"SP_DID_234_seg_1684.04_1688.12.wav","porque você vê em todos os lares o pessoal assiste televisão","porque você vê em todos os lares o pessoal assiste televisão","porque serem todos os lares o pessoal assiste verizão","porque você vê em todos os áreas são pessoal assiste televisão",0.0000,0.0000,0.3636,0.2167,0.1818,0.0833
"SP_DID_234_seg_863.41_864.24.wav","do outro lado","no outro lado","do outro lado","pou para o lado",0.3333,0.0769,0.0000,0.0000,1.0000,0.5385
"SP_DID_234_seg_386.79_391.86.wav","mas essa tinha tanta molecada mas eu achei fabulosa também muito foi comédia","mas essa tinha tanta molecada mas eu achei fabulosa também muito por comédia","mas essa tinha tanta molecada mas se o aviva do osa também do do e pôr","mas essa tinha tanta molecada assim quando eu tinha gozinha",0.0769,0.0263,0.6923,0.3289,0.6154,0.4605
"SP_DID_234_seg_909.19_910.14.wav","e a atrapalhar também","e a atrapalhar também","e aí veio também","e a mãe tem a gente também",0.0000,0.0000,0.5000,0.5238,1.0000,0.6190
"SP_DID_234_seg_1197.09_1197.69.wav","ela gostou","ela gostou","ela gostou","ela gostou",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_838.92_840.07.wav","me chocou tremendamente","me chocou tremendamente","me chocou tremendamente","me chocou tremendamente",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_643.76_644.65.wav","e no teatro não né","e no teatro não né","tenão teatro ou não né","e eu vou teatro um né",0.0000,0.0000,0.6000,0.3333,0.6000,0.4444
"SP_DID_234_seg_1947.88_1952.48.wav","depois passou uma época que você ia ao cinema tinha que ficar de pé numa fila enorme não é","depois passou uma época que você ia ao cinema tinha que ficar de pé numa filha enorme não é","depois passou uma época que você ia com os invernos a tives e estava vivendo lá fiquei enorme","depois passou uma época ele saía assim na dito e vinte e",0.0526,0.0111,0.6316,0.4556,0.7895,0.5222
"SP_DID_234_seg_840.43_843.58.wav","porque eh por detrás dos bastidores é uma coisa horrível né?","porque por detrás dos bastidores é uma coisa horrível né","porque por detras dos mitingos até uma coisão livre né","porque por detrás dos aí",0.1818,0.0667,0.6364,0.3667,0.6364,0.6000
"SP_DID_234_seg_1178.85_1182.34.wav","ah eram filmes que tocavam mais as pessoas","eram filmes que tocavam mais as pessoas","mas eram filmes que tocavam mais as pessoas","ah eram filmes que tocavam mais as pessoas",0.1250,0.0714,0.1250,0.0476,0.0000,0.0000
"SP_DID_234_seg_887.69_888.33.wav","depois eu larguei","pois o lanter","depois se eu não tinha","depois eu",1.0000,0.4706,1.0000,0.7059,0.3333,0.4706
"SP_DID_234_seg_1926.74_1928.70.wav","hoje sei lá os cinemas estão uma bagunça tremenda","hoje sei lá os cinemas estão uma bagunça também ainda","pode ser ir lá aos bens","hoje sei lá o seu",0.2222,0.1429,1.0000,0.7143,0.6667,0.6531
"SP_DID_234_seg_1810.04_1813.17.wav","a gente ia ao cinema tinha em são paulo tem uns cinemas ótimos","a gente ia ao cinema tinha em são paulo tinha os cinemas ótimos","a gente que ia ao zineno a de são paulo que se ririnha","a gente que ia ao cinema tinha em são paulo isso",0.1538,0.0968,0.6154,0.5000,0.3846,0.3710
"SP_DID_234_seg_855.31_862.52.wav","era tão criança eu me lembro que eu já achava diferente o municipal era lindo maravilhoso visto do lado de cá né","eu era tão criança eu me lembro que eu já achava diferente o municipal era lindo maravilhoso visto do lado de cá né","era tão criança eu me lembro que eu já achava que eu nunca vi","era tão criança eu me lembro que eu já estava vivendo e tinha que morrer a risada e arragava os seus",0.0455,0.0268,0.5455,0.5000,0.5909,0.4821
"SP_DID_234_seg_2158.55_2159.21.wav","não","não","foi","não",0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
"SP_DID_234_seg_2135.66_2136.34.wav","novela como","novela como","não ver como","novela com",0.0000,0.0000,1.0000,0.3636,0.5000,0.0909
"SP_DID_234_seg_1776.35_1779.93.wav","como você diz descrever um um um filme","como você de descrever um um um filme","conceis despreveram um filme","como você diz descrever um um filme",0.1250,0.0526,0.7500,0.3947,0.1250,0.0789
"SP_DID_234_seg_2192.20_2193.17.wav","era isso que se falava","era isso que se falava","era isso o que você falava","e era isso o que você falava",0.0000,0.0000,0.4000,0.2727,0.6000,0.3636
"SP_DID_234_seg_2177.18_2187.49.wav","ontem eu assisti carvalho pinto falando com donas de casa a filha dele e o sônia ribeiro alik kostakis então eu assisti","conte eu assisti a ralho pinto falando com donas de casa a filha dele e o sonha ribeiro ali que gostar então eu assisti","bom tem eu assisto e cavaro o pinto faltando com o","ontem eu assisti carvaro pinto o fernando tem um ano e você vê uma vez que tem um",0.3182,0.1261,0.9545,0.7143,0.7727,0.5798
"SP_DID_234_seg_179.29_180.02.wav","faz tempo que eu assisti","faz tempo o castigo","faz tempo que eu assisti","faz tempo que eu assisti",0.6000,0.4167,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1050.89_1051.66.wav","a filha de ryan","na filha de raio","a filha de onde","a filha de que o",0.5000,0.2667,0.2500,0.2667,0.5000,0.3333
"SP_DID_234_seg_758.96_763.33.wav","agora várias peças que eu assisti eu achei diferente","agora várias peças que eu assisti eu achei diferente","abora várias peças que eu assisti eu achei diferente","agora várias peças que eu assisti e eu achei diferente",0.0000,0.0000,0.1111,0.0192,0.1111,0.0385
"SP_DID_234_seg_1751.61_1752.98.wav","precisaria ter mais divulgação","prezaria ter mais divulgação","precisaria ter mais de inundação","precisaria ter mais de rubação",0.2500,0.1000,0.5000,0.1667,0.5000,0.1667
"SP_DID_234_seg_1225.19_1227.65.wav","umas cenas doidas!","nas cenas doidas","com umas cenas doidas","com umas cenas doidas",0.6667,0.1667,0.6667,0.2778,0.6667,0.2778
"SP_DID_234_seg_392.61_393.68.wav","achei ótima","achei ótima","achei ótima","achei ótima",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1333.68_1340.16.wav","cenário fundo musical ou tema do filme né","cinário fulmo musical o tema do filme né","cinário fundo musical ou pena do filme né","cinário fundo musical o tema do filme né",0.3750,0.0976,0.2500,0.0732,0.2500,0.0488
"SP_DID_234_seg_2022.77_2024.79.wav","apresentação anterior do filme?","apresentação anterior do filme","apresentação interior do filme","apresentação anterior do filme",0.2500,0.0323,0.5000,0.0645,0.2500,0.0323
"SP_DID_234_seg_1438.47_1444.32.wav","um tipo de filme como o mágico de oz que todo mundo achou maravilhoso parece que está voltando agora","um tipo de filme como o mágico de ossos que todo mundo achou maravilhoso parece que está voltando agora","um tipo de filme iconou mágico que pensa o mundo acha maravilhoso está legal isso que eu estou dando agora","um tipo de filme como mágia se o filho de trono raro",0.0526,0.0400,0.6842,0.3900,0.7368,0.5600
"SP_DID_234_seg_146.51_147.24.wav","fala a verdade","fala a verdade","fala a verdade","fala a verdade",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1507.59_1510.37.wav","quais os outros elementos além do dos artistas principais","quais os outros elementos além dos artistas principais","quais os outros elementos além dos artistas","quais os outros elementos além dos artistas principais",0.1111,0.0526,0.2222,0.2456,0.1111,0.0526
"SP_DID_234_seg_192.69_194.19.wav","mas foi uma peça muito comentada","mas foi uma peça muito comentada","mas foi uma peça muito ruim das","mas foi uma peça muito dano e",0.0000,0.0000,0.3333,0.2500,0.3333,0.2500
"SP_DID_234_seg_755.90_757.47.wav","eu não sei como é que eles chamam","eu não sei como é que eles chamam","eu não sei como é que eles chamam","eu não sei como é que eles chamam",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1915.15_1926.74.wav","mas eu eu achava bom ir ao cinema um local gostoso antigamente até tinha órgão que tocava no no cine marabá aquele ar condicionado","mas eu eu achava bom ir ao cinema um local gostoso antigamente até tinha órgão que tocava no no no cinema araba aquele ar-condicionado","mas eu eu achava bom ir aos rindo as coisas né","mas eu que eu trabalhava uma graus ser um assim ou eu as malestras e disse que ele viu as um aluguel eu precisava de um aluno rindo que ele desceira o",0.2083,0.0615,0.7500,0.7000,1.1667,0.7615
"SP_DID_234_seg_834.53_836.22.wav","era pássaro de fogo me parece","era pássaro de fogo me parece","era passar o de fogo me parece","ela passada de fogo me parece",0.0000,0.0000,0.3333,0.0690,0.3333,0.1379
"SP_DID_234_seg_2169.38_2175.04.wav","agora começam a os os programas de de política","agora começam a os os programas de de política","agora a comissão aos seus problemas de ver política","agora começamos aos os programas de política",0.0000,0.0000,0.6667,0.3478,0.4444,0.1304
"SP_DID_234_seg_848.99_853.95.wav","quando aparece em cena o público vê uma coisa totalmente bonita né aquelas luzes","quando aparece em cena o público é uma coisa totalmente bonita né aquelas luzes","quando aparece em cena o público ela está totalmente bonita","quando aparece em cena o público vem lá",0.0714,0.0250,0.4286,0.3375,0.5714,0.5375
"SP_DID_234_seg_572.43_574.93.wav","porque a televisão é horroroso quando eles estão fazendo programa","a televisão é horroroso quando eles estão fazendo o programa","porque a televisão é horroroso quando eles se estão fazendo","porque a televisão é orgulhoso quando eles estão fazendo programa",0.2000,0.1385,0.2000,0.1846,0.1000,0.0769
"SP_DID_234_seg_1246.55_1247.40.wav","achei horrível","nasseu o rífio","fazia horrível","achei horrível",1.5000,0.6429,0.5000,0.3571,0.0000,0.0000
"SP_DID_234_seg_428.65_437.49.wav","eu acho que vai mais estudante mais molecadinha rapazes sei lá eu não parece que a gente se sente até mais assim por fora","eu acho que vai mais estudante mais molecadinha rapazes sei lá eu não parece que a gente se sente até mais assim por fora","eu acho que vai mais estudante mais né","eu acho que vai mais estudando também às vezes se possível",0.0000,0.0000,0.7083,0.6860,0.7500,0.6446
"SP_DID_234_seg_1534.15_1536.68.wav","porque o teatro eu acho que está tão caro","porque o teatro acho que está tão caro","porque o teatro eu acho que está tão caro","porque o teatro eu acho que está tão caro",0.1111,0.0732,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1294.60_1295.66.wav","nós saímos para ir ao teatro","nós saímos para ir ao teatro","nós saímos para ir ao teatro","nós saímos para ir ao teatro",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1786.32_1787.49.wav","eu não entendi a pergunta","eu não entendi a pergunta","eu não entendi a pergunta","eu não entendi a pergunta",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1628.11_1637.39.wav","porque o o o essa parte estudantil que está se interessando para iss por isso está tomando assim m maior impulso","porque o o o essa parte estudantil que está se interessando para ir por isso está tomando assim um maior impulso","porque eu essa parte esse um dia se vê assim a rua só assim","porque essa parte ruim e se essas e eles são",0.0952,0.0268,0.7619,0.6250,0.8095,0.6607
"SP_DID_234_seg_1182.34_1184.79.wav","hoje em dia os filmes são mais vazios sei lá","hoje em dia os filmes são mais vazios sim tá","hoje em dia os filmes são mais vazos sei lá","hoje em dia os filmes são mais vazios sila",0.2000,0.0682,0.1000,0.0227,0.2000,0.0682
"SP_DID_234_seg_817.03_834.53.wav","então para mim era uma novidade né teatro porque só estudando estudando estudando quando chegou o ballet russo aqui em são paulo eles pediram que as alunas do do do da prefeitura que éramos nós aquele grupo todo fosse fazer cena num num num dos números que eles apresentavam","então para mim era uma novidade né teatro porque só estudando estudando estudando quando chegou o balé russó aqui em são paulo eles pediram que as alunas do do da prefeitura que éramos nós aquele grupo todo fosse fazer cena num num num dos números que eles apresentavam","então para mim era uma novidade em dia de arta de um povo só de tocando os outros os rastros gostavam que se vêm assim de todas já","então para mim era uma novidade",0.0612,0.0255,0.8571,0.6752,0.8776,0.8869
"SP_DID_234_seg_691.05_693.35.wav","sei lá deve ser não sei como eles chamam","eu sei lá deve ser não sei como eles chamam","se não há bem-vê não sei como eles chamam","se ela deve ser não sei como eles chamam",0.1111,0.0750,0.4444,0.3000,0.2222,0.0750
"SP_DID_234_seg_1595.55_1597.06.wav","eu tenho a impressão que mais por cinema","eu tenho a impressão que mais por cinema","eu tenho a impressão que mais coximeana","eu tenho a impressão que mais por cinema",0.0000,0.0000,0.2500,0.1750,0.0000,0.0000
"SP_DID_234_seg_1278.77_1279.44.wav","um filme","um filme","com o filme","um filme",0.0000,0.0000,1.0000,0.5000,0.0000,0.0000
"SP_DID_234_seg_22.02_27.31.wav","tem um grupinho que nós eh um grupo assim da minha idade que vai sempre ao teatro","tem um grupinho que nós eh um grupo assim da minha idade que vai sempre teatro","pelo um livro tinha que nós em um burroba entre mim e ficava","tem a gente olha ali no azul né aprendia para mim que você olha",0.0588,0.0370,0.8235,0.6296,0.8824,0.6790
"SP_DID_234_seg_166.21_166.88.wav","gostei muito","gostei muito","gostei muito","gostei muito",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1938.85_1947.88.wav","antigamente você ia no cine ipiranga eram umas poltronas ótimas tinha lá em cima você ficava bem acomodada hoje em dia se você","antigamente você ia no cine piranga eram umas poltronas ótimas tinha lá em cima você ficava bem acomodada hoje em dia se você","mantemente se é nosso irando a pera e o bar o pessoal lá só um irmão seu a essa senhora estava chegando o normal o seu enxer","lpantidamente você ia no uingipiranda se não se você se assim se a gente se",0.0435,0.0079,1.1304,0.7222,0.7826,0.6032
"SP_DID_234_seg_2007.04_2007.78.wav","o que eu noto é isso","que eu anoto é isso","porque o luto é que sou","porque eu noto isso",0.3333,0.1500,1.0000,0.5500,0.5000,0.2000
"SP_DID_234_seg_1980.40_1989.51.wav","agora não agora o pessoal parece que entra e sai é um burburinho ali no cinema entra e sai todo mundo e eu acho que diminuiu bem o o pessoal que vai a cinema","agora não agora o pessoal parece que entra e sai é um burburinho ali no cinema entra e sai todo mundo e eu acho que diminuiu bem o o o pessoal que está cinema","abora não abora a pessoa parece que ele está rindo um morinho e olha o meu amigo para que a gente","abora não agora o pessoal parece que ele saiu assim no língua",0.0882,0.0446,0.7941,0.5350,0.7941,0.6497
"SP_DID_234_seg_2073.99_2074.72.wav","comédia","comédia","comédia","comédia",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_60.35_65.07.wav","o que que falar agora sobre peças todas as peças que eu tenho assistido eu tenho gostado","que que falar agora sobre peças todas as peças que eu tenho assistido eu tenho gostado","o que que falar agora sobre peças todas as peças de eu tenho um de uí e tenho","o que que falar agora sobre peças todas as peças de eu tenho um homem",0.0588,0.0227,0.3529,0.2273,0.2941,0.2841
"SP_DID_234_seg_2093.51_2096.89.wav","filmes bons que ap passam na televisão que prendem muito né","filmes bons que passam na televisão que prendem muito né","filmes bons que a pecação na televisão tem que bem em um inédio","filmes bons que a pipação na televisão que prendem muito né",0.0909,0.0508,0.6364,0.3729,0.1818,0.1017
"SP_DID_234_seg_1340.16_1340.94.wav","porque às vezes eh","porque às vezes ele","porque às vezes","porque às vezes ser",0.2500,0.1111,0.2500,0.1667,0.2500,0.1111
"SP_DID_234_seg_844.61_848.66.wav","é tudo tão parece tão tão mascarado sei lá","é tudo tão parece tão tão mascarado sei lá","é tudo tão parece tão mascarado sei lá","é tudo tão parece tão tão não é",0.0000,0.0000,0.1111,0.0952,0.3333,0.3333
"SP_DID_234_seg_1267.56_1268.18.wav","ela ri","ela ri","para ela vir","ela vir",0.0000,0.0000,1.0000,1.1667,0.5000,0.3333
"SP_DID_234_seg_404.45_407.75.wav","nó só assistiu três vezes","nós são de três vezes","nós só assistiu três vezes","nós só assistiam três vezes",0.6000,0.3600,0.2000,0.0400,0.4000,0.1200
"SP_DID_234_seg_1471.11_1474.04.wav","sei lá eu acho que filme desenhos animados?","sei lá eu acho que filme desenhos animados","sem lá eu acho que filme desenhos animados","sei lá eu acho que filme desenhos animados",0.1250,0.0233,0.2500,0.0465,0.1250,0.0233
"SP_DID_234_seg_210.22_211.31.wav","mas foi bom também viu","mas foi bom também viu","mas foi bom também viu","mas foi bom também viu",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_94.21_95.48.wav","mas também não lembro o nome de artista","mas também não lembro o nome de artista","mas também não lembro o nome de artista","mas também não lembro o nome de artista",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1823.81_1834.83.wav","saem do trabalho vão ao cinema saem da escola vão ao cinema quer dizer eh e a gente encontra no cinema no a a a para assistir um filme vários eh grupos de pessoas de de de de várias camadas","saem do trabalho vão ao cinema saindo da escola vão ao cinema quer dizer eh e a gente encontra no cinema no a para assistir um filme vários grupos de pessoas de de de de de várias camadas","saindo o trabalho a bolsa menina do menino de são","saindo trabalhavam as cinenas as as as pessoas são as irmãs",0.1250,0.0741,0.9250,0.8042,0.9750,0.7513
"SP_DID_234_seg_47.70_49.23.wav","prefiro ir a teatro do que a cinema","prefiro ir a teatro do que cinema","prefiro ir a teatro a do que a cinema","prefiro ir a teatro do que é cinema",0.1250,0.0571,0.1250,0.0571,0.1250,0.0286
"SP_DID_234_seg_1134.96_1137.48.wav","eu acho que mais é a roupa maquiagem cabelo","eu acho que mais é a roupa maquiagem cabelo","eu acho que mais é a rota do meu amigo","eu acho que mais era roupa bom ninguém dá",0.0000,0.0000,0.4444,0.3256,0.5556,0.3721
"SP_DID_234_seg_989.32_989.56.wav","é","é","foi","é",0.0000,0.0000,1.0000,3.0000,0.0000,0.0000
"SP_DID_234_seg_1838.76_1841.87.wav","eu acho que e o cinema perdeu muito por causa da televisão","eu acho que o cinema perdeu muito por causa da televisão","eu acho que se você vê o que","eu acho que o cinema perdeu muito por causa da televisão",0.0833,0.0345,0.7500,0.6552,0.0833,0.0345
"SP_DID_234_seg_370.73_373.84.wav","depois eram eu notei que o público era mais refinado sabe","depois era um eu notei que o público era mais refinado sabe","depois eram eu não tenho que me cora da vez em quando","depois era um inotente para o público",0.1818,0.0351,0.7273,0.5088,0.7273,0.5965
"SP_DID_234_seg_1645.85_1647.42.wav","ainda mais com a televisão não é","ainda mais com a televisão não é","ainda mais com a televisão não é","ainda mais com a televisão não é",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"SP_DID_234_seg_1732.48_1735.92.wav","eu tenho a impressão que o teatro perde público por falta de divulgação","eu tenho a impressão que o teatro perde público por falta de divulgação","eu tenho a impressão que o teatro é o peito público com o faltado e divulgação","eu tenho a impressão que o teatro vai perder público o corpo voltado à divulgação",0.0000,0.0000,0.5385,0.1972,0.4615,0.2254
"SP_DID_234_seg_575.13_583.75.wav","eu tenho ido todas terças feiras no programa que aparece no sábado então é um grupo que estão fazendo uma promoção do lanjal então eu vou com eles","eu tenho ido todas as terças-feiras no programa que aparecem no sábado então é um grupo que estão fazendo uma promoção do lanchal então eu vou com eles","eu tenho ido todas ter essas feiras no programa","eu tenho ido todas terças-feiras no programa que a variesse é",0.1429,0.0479,0.7857,0.7260,0.7143,0.6164
